date,num_days,min,sec,Sec/60,min+sec
04/16/18,0,9,27,0.45,9.45
04/22/18,6,9,36,0.6,9.6
04/25/18,9,8,52,0.8666666667,8.8666666667
04/29/18,13,9,0,0,9
04/29/18,13,8,43,0.7166666667,8.7166666667
05/01/18,15,8,9,0.15,8.15
05/01/18,15,8,22,0.3666666667,8.3666666667
05/02/18,16,8,27,0.45,8.45
05/04/18,18,6,32,0.5333333333,6.5333333333
05/08/18,22,8,46,0.7666666667,8.7666666667
05/14/18,28,8,22,0.3666666667,8.3666666667
05/14/18,28,8,37,0.6166666667,8.6166666667
05/15/18,29,8,2,0.0333333333,8.0333333333
05/15/18,29,7,54,0.9,7.9
05/16/18,30,6,38,0.6333333333,6.6333333333
05/16/18,30,6,20,0.3333333333,6.3333333333
05/19/18,33,9,23,0.3833333333,9.3833333333
05/22/18,36,10,5,0.0833333333,10.0833333333
05/24/18,38,6,59,0.9833333333,6.9833333333
05/24/18,38,6,25,0.4166666667,6.4166666667
05/27/18,41,7,30,0.5,7.5
05/29/18,43,6,56,0.9333333333,6.9333333333
06/01/18,46,5,26,0.4333333333,5.4333333333
06/02/18,47,8,39,0.65,8.65
